Дата;Кол-во
;заказов,
;шт.
;
;
;
15.08.2022;222
16.08.2022;210
17.08.2022;227
18.08.2022;227
19.08.2022;239
20.08.2022;278
21.08.2022;248
22.08.2022;195
23.08.2022;186
24.08.2022;203
25.08.2022;209
26.08.2022;209
27.08.2022;245
28.08.2022;218
29.08.2022;182
30.08.2022;190
31.08.2022;180
Всего;169 718
Транспонировать;
Пересчитать в средних значениях на день;
Показать все диаграммы;
